,name,x_min,y_min,x_max,y_max
3330,"Visalia, CA Urbanized Area",-119.358014129,36.2197534854,-119.242539871,36.3654085146
3334,"Waco, TX Urbanized Area",-97.2349168953,31.4553542798,-97.0971791047,31.6290917202
3344,"Waldorf, MD Urbanized Area",-77.0476386569,38.5339162509,-76.9281033431,38.6846937491
3362,"Warner Robins, GA Urbanized Area",-83.7409081161,32.4887217967,-83.5954778839,32.6721622033
3375,"Washington, DC--VA--MD Urbanized Area",-77.45331144,38.564786536,-76.92620656,39.229657464
3385,"Waterbury, CT Urbanized Area",-73.108444856,41.4621728066,-72.970703144,41.6359151934
3389,"Waterloo, IA Urbanized Area",-92.4413645771,42.4237916697,-92.3269894229,42.5680603303
3475,"Wichita, KS Urbanized Area",-97.43353239,37.5455835876,-97.22106961,37.8135764124
3501,"Wilmington, NC Urbanized Area",-77.9821805048,34.1117545906,-77.8144914952,34.3232714094
3529,"Winston-Salem, NC Urbanized Area",-80.3966776767,35.9079733397,-80.1362743233,36.2364366603
3530,"Winter Haven, FL Urbanized Area",-81.7878098622,27.9379915261,-81.6197481378,28.1499784739
3553,"Worcester, MA--CT Urbanized Area",-71.8302180009,42.1188966693,-71.5773799991,42.4378173307
3565,"Yakima, WA Urbanized Area",-120.604299248,46.5396322438,-120.492152752,46.6810897562
3574,"York, PA Urbanized Area",-76.8005577255,39.8517493803,-76.6338482745,40.0620306197
3577,"Youngstown, OH--PA Urbanized Area",-80.7936392524,41.0027865907,-80.5685187476,41.2867454093
3581,"Yuba City, CA Urbanized Area",-121.653390941,39.0660736316,-121.563245059,39.1797803684
3584,"Yuma, AZ--CA Urbanized Area",-114.623768695,32.6067776118,-114.512577305,32.7470303882
